STT,漢字,音（漢越）,読み方,意味,
4818,編成,BIÊN THÀNH,へんせい,"thành lập tổ chức, thiết lập",
4819,養成,DƯỠNG THÀNH,ようせい,"nuôi dưỡng, vun bồi",
4820,性格,TÍNH CÁCH,せいかく,tính cách,
4821,性質,TÍNH CHẤT,せいしつ,"tính chất, khí chất",
4822,性能,TÍNH NĂNG,せいのう,tính năng,
4823,根性,CĂN TÍNH,こんじょう,bản tính,
4824,属性,THUỘC TÍNH,ぞくせい,thuộc tính,
4825,天性,THIÊN TÍNH,てんせい,"bản năng, thiên bẩm",
4826,理性,LÝ TÍNH,りせい,lý tính,
4827,可能性,KHẢ NĂNG TÍNH,かのうせい,"khả năng, tình trạng có thể",
4828,人間性,NHÂN GIAN TÍNH,にんげんせい,"bản chất con người, nhân tính",
4829,対案,ĐỐI ÁN,たいあん,đề án chống lại,
4830,対称,ĐỐI XỨNG,たいしょう,đối xứng,
4831,対等,ĐỐI ĐẲNG,たいとう,"đối đẳng, ngang nhau",
4832,一対,NHẤT ĐỐI,いっつい,"một cặp, bộ đôi",
4833,絶対,TUYỆT ĐỐI,ぜったい,tuyệt đối,
4834,相対,TƯƠNG ĐỐI,そうたい,tương đối,
4835,一対一,NHẤT ĐỐI NHẤT,いちたいいち,một chọi một,
4836,対応,ĐỐI ỨNG,たいおう,"tương ứng, ứng phó",
4837,対決,ĐỐI QUYẾT,たいけつ,"đối đầu, đấu tay đôi",
4838,対抗,ĐỐI KHÁNG,たいこう,"đối kháng, chống đối",
4839,対峙,ĐỐI TRĨ,たいじ,"đối mặt, đương đầu",
4840,対処,ĐỐI XỬ,たいしょ,xử lý thích hợp,
4841,対戦,ĐỐI CHIẾN,たいせん,chạm trán,
4842,対談,ĐỐI ĐÀM,たいだん,hướng về nhau nói chuyện,
4843,対比,ĐỐI TỈ,たいひ,so sánh đối chiếu,
4844,対面,ĐỐI DIỆN,たいめん,gặp mặt,
4845,対話,ĐỐI THOẠI,たいわ,đối thoại,
4846,応対,ỨNG ĐỐI,おうたい,"tiếp đãi, ứng đáp",
4847,敵対,ĐỊCH ĐỐI,てきたい,"đối địch, đối kháng",
4848,大家,ĐẠI GIA,たいか,"người có thanh danh, nhà lớn, người giàu",
4849,大概,ĐẠI KHÁI,たいがい,"bao quát, nhìn chung",
4850,大吉,ĐẠI CÁT,だいきち,đại cát,
4851,大凶,ĐẠI HUNG,だいきょう,đại hung,
4852,大金,ĐẠI KIM,たいきん,món tiền lớn,
4853,大衆,ĐẠI CHÚNG,たいしゅう,đại chúng,
4854,大胆,ĐẠI ĐẢM,だいたん,"gan dạ, táo bạo",
4855,大地,ĐẠI ĐỊA,だいち,"đất liền, lục địa",
4856,大脳,ĐẠI NÃO,だいのう,đại não,
4857,大仏,ĐẠI PHẬT,だいぶつ,tượng Phật lớn (nổi tiếng ở Kamakura),
4858,偉大,VĨ ĐẠI,いだい,vĩ đại,
4859,寛大,KHOAN ĐẠI,かんだい,"hào hiệp, bao dung, cảm thông",
4860,細大,TẾ ĐẠI,さいだい,chuyện lớn chuyện nhỏ,
4861,甚大,THẬM ĐẠI,じんだい,"khổng lồ, to lớn",
4862,雄大,HÙNG ĐẠI,ゆうだい,"hùng vĩ, đồ sộ, nguy nga",
4863,大敗,ĐẠI BẠI,たいはい,"đại bại, thất bại nặng nề",
4864,大別,ĐẠI BIỆT,たいべつ,phân chia đại khái,
