STT,漢字,音（漢越）,読み方,意味,,,
7478,ゆらゆら,-,ゆらゆら,rung rinh,,,
7479,恐る恐る,KHỦNG (恐),おそるおそる,"sợ sệt, ngập ngừng",,,
7480,おちおち,-,おちおち,"an tâm, bình tĩnh",,,
7481,かれこれ,-,かれこれ,"chần chừ, do dự",,,
7482,こわごわ,-,こわごわ,"lo lắng, rụt rè, bẽn lẽn",,,
7483,さんざん,-,さんざん,"khủng khiếp, nặng nề",,,
7484,しぶしぶ,-,しぶしぶ,miễn cưỡng,,,
7485,そこそこ,-,そこそこ,mức độ tạm chấp nhận,,,
7486,そもそも,-,そもそも,"về cơ bản, ngay từ đầu",,,
7487,ちやほや,-,ちやほや,nuông chiều,,,
7488,ちょくちょく,-,ちょくちょく,"thỉnh thoảng, thường xuyên",,,
7489,ちらほら,-,ちらほら,"rải rác, thỉnh thoảng",,,
7490,つくづく,-,つくづく,"kĩ lưỡng, thấu đáo, thật lòng mà nói",,,
7491,てきぱき,-,てきぱき,nhanh nhẹn,,,
7492,とぎれとぎれ,-,とぎれとぎれ,"(nói) bị ngắt quãng, (tín hiệu) chập chờn",,,
7493,のらりくらり,-,のらりくらり,"lông bông, lêu lổng",,,
7494,はるばる,-,はるばる,"lặn lội (xa xôi), cách xa",,,
7495,まずまず,-,まずまず,tạm ổn,,,
7496,よくよく,-,よくよく,"... kĩ lại, một lần nữa, cho chắc",,,
7497,まだまだ,-,まだまだ,vẫn còn chưa,,,
7498,まるまる,-,まるまる,"toàn bộ, tròn trịa",,,
7499,みすみす,-,みすみす,"(thấy) rõ ràng, làm lơ, ngay trước mắt",,,
7500,みるみる,-,みるみる,"ngay lập tức, trong nháy mắt",,,
7501,わざわざ,-,わざわざ,"cất công, lặn lội",,,
7502,あっさり,-,あっさり,"(vị) nhạt, một cách dễ dàng",,,
7503,うっとり,-,うっとり,"say đắm, mê mẩn",,,
7504,がっくり,-,がっくり,"thất vọng, đau buồn, ủ dột",,,
7505,がっしり,-,がっしり,"rắn chắc, cứng cáp",,,
7506,がっちり,-,がっちり,"rắn chắc, đều đặn",,,
7507,きっかり,-,きっかり,"chính xác, vừa đúng",,,
7508,きっちり,-,きっちり,"vừa khít, (nhớ) chính xác, (trả) đàng hoàng",,,
7509,きっぱり,-,きっぱり,"dứt khoát, thẳng thừng",,,
7510,くっきり,-,くっきり,nổi bật,,,
7511,ぐっすり,-,ぐっすり,ngủ ngon,,,
7512,ぐったり,-,ぐったり,"ủ rǋt, đuối sức",,,
7513,げっそり,-,げっそり,"gầy trơ xương, chán nản",,,
7514,こっそり,-,こっそり,"lén lút, âm thầm, vụng trộm",,,
7515,ごっそり,-,ごっそり,"(cướp) sạch, không chừa thứ gì",,,
7516,こってり,-,こってり,"(vị) đậm đà, (màu) sẫm",,,
7517,さっぱり,-,さっぱり,"thẳng thắn, sảng khoái, hoàn toàn không",,,
7518,じっくり,-,じっくり,"kĩ càng, thận trọng",,,
7519,しっとり,-,しっとり,"ẩm ướt, dịu dàng, êm ái",,,
7520,ずっしり,-,ずっしり,"nặng nề, trĩu nặng",,,
7521,ちゃっかり,-,ちゃっかり,"tinh ranh, có tính toán",,,
7522,ちょっぴり,-,ちょっぴり,có chút xíu,,,
7523,てっきり,-,てっきり,cứ đinh ninh là,,,
7524,どっさり,-,どっさり,"cả đống, (rơi) bịch bịch",,,
7525,どっしり,-,どっしり,"nặng, rắn chắc, đứng đắn, điềm tĩnh",,,
7526,どっぷり,-,どっぷり,"(nhúng, nhận chìm) cho ngập"
7527,のっそり,-,のっそり,"nặng nề, chậm chạp, (thức dậy) uể oải",,,
7528,びっしり,-,びっしり,"(nhồi nhét) chật ních, vừa đủ",,,
7529,ひっそり,-,ひっそり,"tĩnh mịch, hẻo lánh, ẩn dật",,,
7530,ぽっかり,-,ぽっかり,"há hốc mồm, trôi bềnh bồng, (vết nứt, hố) to",,,
7531,ほっそり,-,ほっそり,"thanh mảnh, mảnh khảnh",,,
7532,むっつり,-,むっつり,hầm hầm,,,
7533,ゆったり,-,ゆったり,"thảnh thơi, thư giãn",,,
7534,うんざり,-,うんざり,ngán ngẩm,,,
7535,こんがり,-,こんがり,"(đồ ăn) cháy vàng, (da) rám nắng",,,
7536,こんもり,-,こんもり,"(cây cối) um tùm, sum suê, (đất) phì nhiêu",,,
7537,しんみり,-,しんみり,trầm buồn,,,
7538,すんなり,-,すんなり,"mảnh khảnh, không chút khó khăn, dễ dàng",,,
7539,どんより,-,どんより,"u ám, nhiều mây",,,
7540,ほんのり,-,ほんのり,"nhẹ, yếu ớt, thoang thoảng (mùi)",,,
7541,やんわり,-,やんわり,"nhẹ nhàng, mềm mỏng",,,
